PC4;X;Y
2805;109442.878978947;448497.961308421
2806;109682.198560043;447197.885938877
2807;110934.010925954;446835.307757506
2808;109421.283721614;446491.545281268
2809;106348.951514698;446804.975922572
2811;109559.050696583;450803.759711229
2821;110426.424736859;442856.334385096
2825;107575.817804462;440162.763765486
2831;107237.526255685;444707.902553061
2840;105206.311645454;448270.8762
2841;105056.725492297;446042.183386216
2851;114448.682328397;446403.047972661
2855;116778.135129753;443470.48392656
2861;113344.831134964;438658.696928928
2865;115156.654146734;437732.260287437
2871;118561.925622968;440270.887108304
2872;119247.027059494;440179.642214768
2901;98421.3016320098;437012.375606203
2902;99235.7876159168;437890.516840311
2903;100248.830183271;438331.641565789
2904;101239.588066879;438618.690728875
2905;100889.866628726;439214.684288889
2906;98788.7560599164;438960.086807098
2907;99418.426835135;440097.279011318
2908;99188.9524855261;441225.92694057
2909;97035.4255819229;436440.265729038
2911;102425.273277018;440956.182018331
2912;101118.327903359;442198.75285323
2913;101181.37585446;443359.476815963
2914;102126.874432212;443165.765454327
2921;99721.344852612;436013.284607836
2922;100405.428775258;436959.204656959
2923;101262.63255386;436238.315490126
2924;102126.712270291;437258.116194793
2925;102534.361294535;436765.165185524
2926;101366.074611905;436020.353910119
2931;102482.767851579;434934.631854912
2935;104574.683281342;439148.860853459
2941;107331.166800676;436434.98322751
2951;104805.714473875;431109.27672119
2952;105749.733196073;429639.781682723
2953;103972.320853613;431729.858929604
